"WebUrl Name: Austin Event Search"
"Search Url: https://tickettransaction.com/?https=true&bid=3104&sitenumber=5&tid=306&disableSingleEventRedirect=true&sdate=07%2F25%2F2019&edate=08%2F01%2F2019&city=Austin&stprvid=44"
"Run Time: 07/26/2019 07:12:14"

"Event"
"Beck, Cage The Elephant &amp; Spoon"
"Rufus Du Sol"
"Tameca Jones"
"Folk Uke"
"Metalesque: Metal In Cinema"
"Gospel Brunch"
"Night Moves &amp; Mike Kiddoo"
"Alex Di Leo &amp; Cody Lovaas"
"Grivo &amp; Llora"
"Sublime with Rome"
"Lord Buffalo, Ester Drang &amp; Blushing"
