"WebUrl Name: Chicago Event Search"
"Search Url: https://tickettransaction.com/?https=true&bid=3104&sitenumber=5&tid=301&disableSingleEventRedirect=true&kwds=rock+concert&city=Chicago&sdate=07%2F24%2F2019&edate=07%2F31%2F2019&stprvid=15"
"Run Time: 07/26/2019 05:42:55"

"Event","Venue","Location"
"Solemn Oath &amp; Warpigs Pig Roast","Reggie&#39;s Music Joint","Chicago, IL"
"Dead Lucid","Cubby Bear","Chicago, IL"
"Jeff Lynne&#39;s Electric Light Orchestra","United Center","Chicago, IL"
"Will Hoge &amp; Drivin N&#39; Cryin","Joe&#39;s Bar On Weed St.","Chicago, IL"
"Iris Blue","Bottom Lounge","Chicago, IL"
"Peter Frampton","Huntington Bank Pavilion at Northerly Island","Chicago, IL"
"Holy Grail","Reggie&#39;s Rock Club","Chicago, IL"
"Lollapalooza Aftershow: Kali Uchis","Metro Chicago","Chicago, IL"
"Lollapalooza Aftershow: Jeremy Zucker","Reggie&#39;s Rock Club","Chicago, IL"
